Date,Reviews,Source,Rating,Designation,Employee Status
2023-07-25,"Thanks Arnab sir and 
@republic
 to made this tweet part of Motorola Moment.
But the matter is really serious if opposition really wants a serious discussion then they have to learn to co-oporate first.",Twitter,,,
2023-07-26,"Did #Samsung just tell Motorola.... Get back to the rear of the line? 
#FlipYourWorld",Twitter,,,
2023-07-25,"ICYMI: Motorola’s next affordable smartphone, the Moto G14 is coming sooner than we expected.",Twitter,,,
2023-07-26,"Mimochodem Arsen Pavlov si prý zvolil volací znak Motorola podle svého prvního mobilu.

Jsem ráda, že se tenhle zvyk neujal, protože můj první mobil byl Alcatel One Touch Easy a to zní, jako že jsem nějaká rádodajka. To bych si raději říkala Nokia 5110 – elegantní a nezničitelná.",Twitter,,,
2023-07-19,"Y'all(your age mates) used to faint from be too drunk, from sneaking alcohol into school grounds. Just cause your motorola couldn't post on the internet doesn't mean it didn't happen",Twitter,,,
2023-07-27,The Motorola Razr walked so the Samsung Galaxy Z Flip5 could run,Twitter,,,
2023-07-20,"Which do you think is the best-looking Flagship Smartphone? 

Google Pixel vs OnePlus 11 vs Motorola vs Samsung S23 Ultra vs Xiaomi 13 Ultra vs Apple iPhone vs Nothing Phone 2",Twitter,,,
2023-07-23,I should be allowed to put iOS on any phone I want…like that Motorola RAZR #JustSayin,Twitter,,,
2023-07-20,"The Android 13 update has arrived for the Motorola Edge 30 Neo. 
@PiunikaWeb
 @Android_AUT
 @FanboyMoto",Twitter,,,
2023-07-26,"Motorola Moto G (2022) just got its official Android 13 update, available in some operators already (at least Cricket)

https://androidupdatetracker.com/p/motorola-moto-g-2022…

#MotoG2022 #MotorolaMotoG #Android13",Twitter,,,
2023-07-20,"Motorola's 2023 Moto G Stylus 5G, a rare phone with a pen-like stylus, delivers a pleasing screen, commendable battery life, and good-enough performance at a reasonable price.",Twitter,,,
2023-07-28,"rip the original charger that came with my phone, like damn motorola your chargers are awesome",Twitter,,,
2023-07-24,"Hey 
@flipkartsupport
 @Flipkart
 @motorolaindia
 I bought #Motorola 55inch Qled TV.  After couple of days TV is restarting continously, so tried to place return or replacement on #flipkart, but I'm getting 'something went wrong try after some time error' from yesterday. #flipkart",Twitter,,,
2023-07-20,"Oppo Reno 10 Price of 33K INR is too high for the specs it provides. Even after 3K discount, price will be little high
No OIS
2X Hybrid Optical Zoom 
No High PWM Dimming

I can say For 25K-26K, it is worth
Realme 11 Pro+ is a better Option overall
Motorola Edge 40 is the best… Show more",Twitter,,,
2023-07-27,"motorola a830

designed with video calling in mind, was one of the first phones built with the high speed 3g network in mind

1/1 for 25 tez

https://objkt.com/asset/KT1UkGRThSkza8wcXcxJJTUKAEQnzN7qT2dd/15…",Twitter,,,
2023-07-25," We salute forward-thinking employers like 
@MotoSolutions
, a partner of Path Forward’s since 2020. Motorola offers #returnships to provide on-ramps back to work for high-achievers who put their careers on pause to care for kids, family, self, or others. https://bit.ly/3OfBV6G",Twitter,,,
2023-07-26,"With my comments on the #foldable smartphone market competition and who has found a good formula in challenging #Samsung

https://cnet.com/tech/mobile/forget-google-or-motorola-samsungs-biggest-foldable-rival-could-be-oppo/#ftag=COS-05-10aaa0j… via 
@CNET",Twitter,,,
2023-07-25,"Motorola Moto G32 features a triple camera system on the back including a 50-MP main camera, a 16-MP single selfie optic, three storage options, a 5000mAh battery capacity, https://tinyurl.com/3ukaw5k4

#MotorolaMobile  #MotorolaPhone  #NewMotorolaMobile  #Emobileprice  #EMP",Twitter,,,
2023-07-18,"HONOR seems all set to take on Samsung, Xiaomi, BBK group, Nothing, and Motorola in India ",Twitter,,,
2023-07-21,"Help me to share 49,000 AURA in this awesome competition !",Twitter,,,
2023-07-24,"Introducing the game-changer!  Experience the revolutionary Motorola Edge 40 with its stunning curved display, ultra-smooth 144Hz refresh rate, and powerhouse camera!

 READ MORE FOR DETAILS 
https://droidsumo.com/revolutionary-motorola-edge-40-arrives-in-india-on-may-23/…

#MotorolaEdge40 #FlagshipTech #InnovationAtItsFinest",Twitter,,,
2023-07-25,"Lightweight, ultra-sleek, and infinitely flexible. Everyone agrees that Motorola Razr 40 Ultra is just gorgeous.   

Whether you are in KSA, UAE, Kuwait, or Qatar, visit this link and order yours: https://linktr.ee/MotorolaArabia  

#Motorola #BendYourLimits #Razr40Ultra",Twitter,,,
2023-07-27,"La prima telefonata con un cellulare fu effettuata da Martin Cooper, un ingegnere statunitense che lavorava per Motorola. Questo evento storico avvenne il 3 aprile 1973 a New York. 
E indovinate chi chiamò per primo?

Martin Cooper utilizzò il Motorola DynaTAC 8000X, che era il… Show more",Twitter,,,
2023-07-26,"Make your phone 'hatke' with Android™13 & get a more usable, reliable & personal experience. Stay current with the latest innovations & get an assured upgrade to Android™14. Get ready as #motog14 launches 1st August on 
@flipkart
, http://motorola.in & leading retail stores.",Twitter,,,
2023-07-24,There are no Jamaican women shaped like this. Prove me wrong I dare you,Twitter,,,
2023-07-19,"Fix this error, so far confirmed on: Samsung Galaxy A03s, A11, A12, A53; Honor X7, Motorola G Play, Xiaomi Redmi 9i.

The FAQ says it's because the app sensed intense movement, however we've tried leaving the phone alone in a quiet room and it still gives us this error.",Twitter,,,
2023-07-19,"Catch our Founder and CEO Varun Goyal share his thoughts on how to strike the perfect balance between being ruthlessly competitive and genuinely authentic in the world of business on #spotifypodcast https://bit.ly/44CMkAk

#illuminatehealth #healthtechnology #Digitalhealth",Twitter,,,
2023-07-22,"➤  Delivery Speed 2 - 3hrs
➤  Pay on Delivery

#𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀𝗖𝗹𝗮𝘂𝗱 Starlink Sigor Uhunye Brookside Miguna Miguna Maurice Ogeta Itumbi DJ Evolve Ferdinand Omanyala Messi  World Record  kenya air force .",Twitter,,,
2023-07-24,"Click this link,  https://tinyurl.com/5x8smh6s, and see detailed information of Motorola's Mobile named Motorola Moto G25.

#MotorolaMobile  #MotorolaPhone  #NewMotorolaMobile  #MotorolaMobile2023  #Emobileprice  #EMP",Twitter,,,
2023-07-20,Using Motorola devices since 2009.. not a single hardware issue encountered yet.,Twitter,,,
2023-07-27,"Meet the super-premium and stylish #motog14, featuring an incredible 6.5"" FHD+ display, Stereo speakers with Dolby Atmos® & more. Launching 1 Aug. on Flipkart and http://motorola.in.",Twitter,,,
2023-07-28,"so i bought a three pack of chargers from motorola and uh, this motherfucker
BUMBLEBEE THEY TURNED ME INTO A FUNKO POP",Twitter,,,
2023-07-25,Y’all think I cheat?,Twitter,,,
2023-07-27,"#SamsungGalaxyZFlip5 vs #MotorolaRazr40Ultra – battle of the flip phones

https://businessinsider.in/tech/mobile/news/samsung-galaxy-z-flip-5-vs-motorola-razr-40-ultra-smartphone-comparison-of-price-and-features/slidelist/102160555.cms…

By 
@sourabhjain24",Twitter,,,
2023-07-21,"Motorola Sold Highest No of Smartphone In Foldable Category Prime Day Sales

#Motorola has created a new record in India by becoming the highest-selling smartphone brand in the foldables ..

To Read Complete Newshttps://digitalterminal.in/tech-companies/motorola-sold-highest-no-of-smartphone-in-foldable-category-prime-day-sales…

#MotorolaIndia #MotorolaSmartphone",Twitter,,,
2023-07-21,"https://buff.ly/3D4KtrR  Motorola orchestrate integrates security into one platform  sales@survshop.com 
@kelowna",Twitter,,,
2023-07-24," Get ready for the ultimate smartphone experience as Motorola launches its foldable marvel on June 1st!  Discover the power and potential of the Razr 40! 

 READ MORE FOR DETAILS 
https://droidsumo.com/unveiling-razr-motorolas-foldable-marvel/…

#MotorolaRazr #FoldableMarvel #TechRevolution",Twitter,,,
2023-07-25,"""This is shaping up to be the year of the folding smartphone,"" writes tech columnist Dwight Silverman. ""More makers of Android devices are piling into an arena dominated by Samsung, and the resulting gear is getting better and less expensive.""",Twitter,,,
2023-07-25,"Motorola Moto X30 Pro offers three storage options including 8GB RAM with 128GB internal storage, 12GB RAM with 256GB Memory, 12GB RAM with 512GB Storage, and a 200-MP main back optic. For more detail click here link. https://tinyurl.com/4me8ems4

#MotorolaMobile  #Emobileprice  #EMP",Twitter,,,
2023-07-27,Radio Case Two Way Reflective Stitching Radio Holder Leather Holster with Adjustable Elastic Band Fits for Motorola APX 6000/ VZH8PTW,Twitter,,,
2023-07-27,"Enjoy your favourite content for hours without interruptions. With #motog14’s massive 5000mAh battery and 20W TurboPower™ Charging, you get to charge faster and stay charged for longer! Launching August 1st on 
@flipkart
, http://motorola.in, and leading retail stores.",Twitter,,,
2023-07-24,Motorola Moto G14 vs. Realme 9i vs. Redmi Note 11: Which Budget Smartphone Is Right For You?,Twitter,,,
2023-07-26,#samsung phones are the worst. It's humid and I'm camping so my phone decided there is moisture in the charging port and won't let me juice up my phone. My LG and #motorola phones could figure it out,Twitter,,,
2023-07-24,"#Moto G14 Pre-Bookings To Start From August 1 On Flipkart; Check Specifications, Expected Price 
#motorola #flipkart #motoG14 #smartphone #launch",Twitter,,,
2023-07-27,"Motorola Razr 40 Ultra 

 - Infinite Black, 8 GB RAM, 256 GB Storage
- 3.6"" External AMOLED Display 
- 6.9"" AMOLED 165Hz Display 
- 32MP Selfie Camera 
- 30W  TurboPower Charging 
- Android 13

https://amzn.to/44Fipas

#Amazon #Motorola #motorolarazr40ultra #motorolarazr",Twitter,,,
2023-07-21,"Ouch: Why does this video hurt so much to watch?

This Motorola Razr Plus durability test is painful to watch | Digital Trends https://buff.ly/3XZ2fWZ",Twitter,,,
2023-07-24,"Motorola Moto S30 Pro reveals Full HD videos, a 6.55-inch display, 144Hz refresh rate, 4 storage options, Qualcomm Snapdragon 888+ chipset, a triple camera setup on the back with a 50-MP main optic, https://tinyurl.com/ejd9k6j9

#MotorolaMobile  #MotorolaPhone  #Emobileprice  #EMP",Twitter,,,
2023-07-20,"motorola dynatac 8000x

the first mobile phone ever approved for use in the united states, made sense that it should be the first phone in my series exploring cell phone history

1/1 highest offer accepted tomorrow around noon est

https://objkt.com/asset/KT1UkGRThSkza8wcXcxJJTUKAEQnzN7qT2dd/0…",Twitter,,,
2023-07-24,I want me one of those new motorola razr’s so I can,Twitter,,,
2023-07-24,"Check out Motorola 56531/HCTN4002A CLS Multi Unit Charger / Cloning Station With Cord https://ebay.com/itm/385803614878?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=7t2_btu7s-s&sssrc=2524149&ssuid=7t2_btu7s-s&widget_ver=artemis&media=TW… #eBay via 
@eBay",Twitter,,,
2023-07-24,"Check out Motorola 56531/HCTN4002A CLS Multi Unit Charger / Cloning Station With Cord https://ebay.com/itm/385803614878?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=7t2_btu7s-s&sssrc=2524149&ssuid=7t2_btu7s-s&widget_ver=artemis&media=TW… #eBay via 
@eBay",Twitter,,,
2023-07-23,"Deal : ₹59,999 (M.R.P.: ₹99,999) | BUY NOW link in BIO 

Motorola razr 40 (Vanilla Cream, 8GB RAM, 256GB Storage) | External AMOLED Display | 6.9"" AMOLED 144Hz Display | 64MP Main Camera | Android 13",Twitter,,,
2023-07-27,Want to keep your agency safe from #cyberthreats as you transition to the cloud? Don’t miss Motorola Solutions’ session discussing #cybersecurity for cloud solutions at #APCO2023 in Nashville on Aug 9. https://apco2023.eventscribe.net/fsPopup.asp?Mode=presInfo&PresentationID=1268331&blaid=4852465…,Twitter,,,
2023-07-22,"https://maps.app.goo.gl/km6gDa4w1BMSjmrr8…
CALLING 211
FIRE ENGINE 8
FIRE ENGINE 33
FIRST RESPONDER DODGE TRUCK FOUR DOOR FIREHOUSE 33
FIREHOUSE 21
FIREHOUSE 27
PAULA M STEWARD & MARRIED C. STEWART & MARRIED CARLOS ARMSTRONG & MARCUS LUTTEN 
MOTOROLA WALKIE TALKIE RIONEGRO COLUMBIA MEDELLIN CARTEL",Twitter,,,
2023-07-27,"#Deal
Motorola Edge | 2022 | 2-Day Battery | Unlocked | Made for US 8/256GB | 50MP Camera | Mineral Gray https://amazon.com/gp/product/B0B7XYTXXL?tag=ps5restock20a-20… via 
@amazon",Twitter,,,
2023-07-25,"“With #Calipsa and #Immix, I believe we are working with a game-changing solution that will allow us to deliver the highest possible level of #security for our clients” ﹣ 
@SecuritasUK
. Discover how #Securitas UK achieved 89.8% total video alarm reduction: https://hubs.ly/Q01YKZzw0",Twitter,,,
2023-07-21,i feel represented,Twitter,,,
2023-07-24,"Uploaded some more stuff to the Internet Archive, including some Motorola datasheets on the MC6809. https://archive.org/details/@trcwm #retrocomputing",Twitter,,,
2023-07-24,"Top work from 
@CamBunton
  Motorola Razr+ (Razr 40 Ultra) tips and tricks: 16 must-try features!",Twitter,,,
2023-07-25," The Motorola Razr Plus is here to redefine the way we use phones!  With its sleek design and innovative cover display, staying connected has never looked so stylish. #MotorolaRazr #CoverDisplay #Innovation #TechTrends #Technews",Twitter,,,
2023-07-25,#Motorola is set to refresh its affordable Moto G lineup in India with the upcoming launch of the Motorola G14. Read the story at #TechByte here: https://buff.ly/44Whouv #TechNews #Cashify,Twitter,,,
2023-07-21,"Deals: Motorola MA1 wireless Android Auto adapter $80, Bose speakers, more",Twitter,,,
2023-07-19,"Motorola Edge | 2022 | 2-Day Battery | Unlocked | Made for US 8/256GB | 50MP Camera | Mineral Gray https://amazon.com/gp/product/B0B7XYTXXL?tag=ps5restock20a-20… via 
@amazon",Twitter,,,
2023-07-22,"Motorola Razr + ! The absolute best flip phone  #motorolarazr2022 #razr https://youtube.com/shorts/GqYKQJwZY80?feature=share… via 
@YouTube",Twitter,,,
2023-07-25,Radio Case Two Way Radio Holder Leather Holster with Adjustable Elastic Band Fits for Motorola APX 6000/6000XE or 8000/8000XE OWEN6CB,Twitter,,,
2023-07-23,OCESTORE Replacement LCD Display Digitizer Touch Screen Assembly Repair Compatible with Motorola Moto G Pure XT2163 XT2163DL NIWGYHJ,Twitter,,,
2023-07-21,"The #Motorola Razr Plus is one of the best #foldingphones you can buy today. But just how durable is it? Well, it doesn't look great.",Twitter,,,
2023-07-21,Lmfao,Twitter,,,
2023-07-22,"Surprise! Motorola G82 is getting stable Android 13 update
#Motorola #MotoG82 #Android13 #Updates",Twitter,,,
2023-07-20,"Motorola Moto G Stylus 5G (2023) review: Welcome to bloatware hell: WhatsNew2Day - Latest News And Breaking Headlines 

I really want to like your new Moto G Stylus 5G. And I do, on many levels. It’s got a lot for $399:… #bloatware #hell #Moto #Motorola",Twitter,,,
2023-07-27,"Both devices are pitched to Gen Zs and digital content creators, but for the same price, the Z Flip 5 offers a more complete package.",Twitter,,,
2023-07-22,Enhance your communication with our Motorola XT460 Quad Pack. Reliable and durable for any situation. #Motorola #ReliableCommunication,Twitter,,,
2023-07-27,"Motorola G14 Price in India Leaked Ahead of Launch; Availability Confirmed Via Flipkart: Launch on August 1 st

Check Here: https://mymobileindia.com/motorola-g14-price-in-india-leaked-ahead-of-launch-availability-confirmed-via-flipkart-launch-on-august-1-st/…
@motorola
 @flipkart
#motorola #motorolaG14 #MotoG14 #flipkart #technology #mymobileindia",Twitter,,,
2023-07-24,"Pair your video surveillance with Envysion's software to create business intelligence that's valuable to owners and operators. Drive security, loss prevention...

Visit our website for more info: https://envysion-inc.shp.so/l/DFO6X5

#VideoSecurity …",Twitter,,,
2023-07-25,"Motorola is all set to expand its portfolio of budget smartphones in India with the much-awaited Moto G14.
#motoG14 #motorola #Smartphones #TechNews",Twitter,,,
2023-07-27,"Are Motorola Phones Good in 2023?

Motorola has recently produced some of the best phones on the market and has made a big splash. The advantage is versatility. #Motorola #phones",Twitter,,,
2023-07-21,"Check out Motorola CLS1110 Business Black Portable LCD Display Two-Way Radio Walkie Talkie https://ebay.com/itm/385803529611?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=7t2_btu7s-s&sssrc=2524149&ssuid=7t2_btu7s-s&widget_ver=artemis&media=TW… #eBay via 
@eBay",Twitter,,,
2023-07-27,"#SamsungGalaxyZFlip5, #MotoRazr40Ultra, #OPPOFindN2Flip in head-to-head comparison.

Tap to find out which foldable phone is better",Twitter,,,
2023-07-27,Step-by-Step Guide: How to Take Stunning Photos with Your Motorola Moto Z2 Play #MotorolaPhones #MotorolaMotoZ2Play,Twitter,,,
2023-07-21,"hey 
@motorolaindia
 , i ordered moto edge 40 from http://motorola.in but i want to cancel it as i want to order the moto edge 30. could you please help me cancel my order urgently. thanks",Twitter,,,
2023-07-21,"hey 
@motorolaindia
 , i ordered moto edge 40 from http://motorola.in but i want to cancel it as i want to order the moto edge 30. could you please help me cancel my order urgently. thanks",Twitter,,,
2023-07-28,"Motorola razr 40 Ultra (Infinite Black, 8GB RAM, 256GB Storage) | 3.6"" External AMOLED Display | 6.9"" AMOLED 165Hz Display | 32MP Selfie Camera |30W TurboPower Charging | Android 13 https://amzn.to/3Ocjvn5 via 
@amazon",Twitter,,,
2023-07-21,Motorola’s folding phone just had a durability test — and it’s painful to watch,Twitter,,,
2023-07-23,"Check out Original Motorola MC662  dual 4 input line driver NAND (DS1D3)................ https://ebay.com/itm/334961008559?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=4D7C5mF2Sfm&sssrc=2566055&ssuid=4D7C5mF2Sfm&widget_ver=artemis&media=TW… #eBay via 
@eBay",Twitter,,,
2023-07-23,"Check out Original Motorola MC662  dual 4 input line driver NAND (DS1D3)................ https://ebay.com/itm/334961008559?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=4D7C5mF2Sfm&sssrc=2566055&ssuid=4D7C5mF2Sfm&widget_ver=artemis&media=TW… #eBay via 
@eBay",Twitter,,,
2023-07-21,"Fantastic Friday Deals!
Motorola Edge + |2022| 4800mAh Battery | Unlocked | Made for US 8/512GB | 50MP Camera | Cosmos Blue https://amzn.to/3Y3Qdf9 via 
@amazon",Twitter,,,
2023-07-21,"Fantastic Friday Deals!
Motorola Edge + |2022| 4800mAh Battery | Unlocked | Made for US 8/512GB | 50MP Camera | Cosmos Blue https://amzn.to/3Y3Qdf9 via 
@amazon",Twitter,,,
2023-07-20,"Learn how an integrated technology ecosystem reduces inefficiencies, streamlines operations, and delivers improved security for your organization – download the Safety Reimagined brochure today: https://hubs.ly/Q01Wj1Gm0 

#Motorola",Twitter,,,
2023-07-20,"Learn how an integrated technology ecosystem reduces inefficiencies, streamlines operations, and delivers improved security for your organization – download the Safety Reimagined brochure today: https://hubs.ly/Q01Wj1Gm0 

#Motorola",Twitter,,,
2023-07-22,A Beginner’s Guide to Customizing Your Motorola Moto G8 Power Lite #MotorolaPhones #Motorolamotog8powerlite,Twitter,,,
2023-07-22,A Beginner’s Guide to Customizing Your Motorola Moto G8 Power Lite #MotorolaPhones #Motorolamotog8powerlite,Twitter,,,
2023-07-22,"Motorola Edge 40 Pro Vs Motorola Edge 30 Ultra . Which one will you choose?
#Motorola #Motorola #MotorolaEdge40Pro #MotorolaEdge30Ultra #devicesarena #compare #specs #cameras #batteries",Twitter,,,
2023-07-22,"Motorola Edge 40 Pro Vs Motorola Edge 30 Ultra . Which one will you choose?
#Motorola #Motorola #MotorolaEdge40Pro #MotorolaEdge30Ultra #devicesarena #compare #specs #cameras #batteries",Twitter,,,
2023-07-27,"BACK IN STOCK!
Motorola razr 40 Ultra (Viva Magenta, 8GB RAM, 256GB Storage) | 3.6"" External AMOLED Display | 6.9"" AMOLED 165Hz Display | 32MP Selfie Camera |30W TurboPower Charging | Android 13 https://amzn.to/3Qg0Idg via 
@amazon
 
 #flip #amazon #Discounts #coupon #HDFC #online",Twitter,,,
2023-07-27,"BACK IN STOCK!
Motorola razr 40 Ultra (Viva Magenta, 8GB RAM, 256GB Storage) | 3.6"" External AMOLED Display | 6.9"" AMOLED 165Hz Display | 32MP Selfie Camera |30W TurboPower Charging | Android 13 https://amzn.to/3Qg0Idg via 
@amazon
 
 #flip #amazon #Discounts #coupon #HDFC #online",Twitter,,,
2023-07-22,"Check out (1 pc) MC668P - MOTOROLA - IN STOCK Fast US Shipping (DS1D3).................. https://ebay.com/itm/334960181126?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=4D7C5mF2Sfm&sssrc=2566055&ssuid=4D7C5mF2Sfm&widget_ver=artemis&media=TW… #eBay via 
@eBay",Twitter,,,
2023-07-27,MOTOROLA SOLUTIONS Talkabout T460 Rechargeable Two-Way Radio Pair (Dark Blue) FLTNRUK,Twitter,,,
2023-07-24,"JUST IN: Motorola offers a top deal on the Moto G 5G (2023), now available for just $199. Affordable 5G with decent specs, making it perfect for budget-conscious consumers. #Motorola #MotoG5G2023",Twitter,,,
2023-07-23,"Check out MOTOROLA MC667P   14-Pin Dip Original IC New(DS1D3)....................... https://ebay.com/itm/334960194242?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=4D7C5mF2Sfm&sssrc=2566055&ssuid=4D7C5mF2Sfm&widget_ver=artemis&media=TW… #eBay via 
@eBay",Twitter,,,
2023-07-23,"Motorola Edge 40 Pro Vs Motorola Moto X40 . Which one will you choose?
#Motorola #Motorola #MotorolaEdge40Pro #MotorolaMotoX40 #devicesarena #compare #specs #cameras #batteries",Twitter,,,
2023-07-26,"Check out Motorola Video Baby Monitor Camera HD Wifi https://ebay.com/itm/185978092234?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=kxhpa5idtvk&sssrc=2380676&ssuid=kxhpa5idtvk&widget_ver=artemis&media=TW… #eBay via 
@eBay",Twitter,,,
2023-07-19,Is good 👍   Good 👍,Ambition Box,4.0,,
2023-07-18,"It's fast growing company and promises good future for employees in terms of pay package and growth   Poor work life balance
Toxic work environment",Ambition Box,3.0,,
2023-06-28,"1-Flexible hours working
2-Low pressure
3-Good atmosphere
4-Good work culture   Nothing",Ambition Box,5.0,,
2023-06-03,"Very flexible and comfortable company to work with, being an MNC there is no bossy culture   Struggling in creating Brand value",Ambition Box,4.0,,
2023-05-06,Best place to work and grow...   Nil,Ambition Box,5.0,,
2023-03-19,Overall work culture and work exposure   Lean team structure and volume of work,Ambition Box,5.0,,
2023-02-25,"Team
Senior Leadership team
Learnings   Work life balance",Ambition Box,5.0,,
2023-02-14,3 years   3 years,Ambition Box,4.0,,
2023-02-13,yes i have very good experience in motorola   didn’t find any,Ambition Box,5.0,,
2023-02-08,Work life balance and benefits   Management and leadership and career development,Ambition Box,5.0,,
2023-02-03,Salary   Improper plans in market sudden salary revision up to 50% cutting.,Ambition Box,2.0,,
2023-01-28,Flexible Working Hours   Company culture and Management,Ambition Box,3.0,,
2023-01-03,Technology   Everything except technology,Ambition Box,1.0,,
2022-12-26,"Insurance
salary   No work-life balance
No proper planning of deliverables",Ambition Box,3.0,,
2022-12-16,"Working culture is good.   No promotion is there ,, should be promote every employee after few years",Ambition Box,4.0,,
2022-11-05,All good gooooooooood   Nothing  all is goooooooood,Ambition Box,5.0,,
2022-11-04,"Overall the company is good, if you focus on family than work, this could be the best company ever. Salary and benefits are also good. You can   You may not learn anything else here, only your skills will be utilised. They don't hire employees instead they hire contractors whose job security is less. Talking about company culture, nobody cares what you are doing or when you are leaving/reaching office. This can be a good point to most of the people",Ambition Box,5.0,,
2022-10-16,"Decent Culture.
Work-Life Balance.
No micro-management.   Less fun activities/team parties.",Ambition Box,5.0,,
2022-09-16,Good company calture   job security,Ambition Box,5.0,,
2022-09-11,Good team mates   No job security. Frequent and random layoffs,Ambition Box,3.0,,
2022-08-12,Good company overall   work life balance is not great,Ambition Box,3.0,,
2022-08-09,Super fast paced. Lots of learning.   Job security.,Ambition Box,5.0,,
2022-06-27,Work life balance   Hiring process period is time taken.,Ambition Box,5.0,,
2022-06-23,Vast exposure and empowerment   Compensation and band mismatch,Ambition Box,5.0,,
2022-06-04,Work culture   Appraisal,Ambition Box,4.0,,
2022-05-30,"Work load management.
Work life balance 
Flexible   Very minimal HR communications.
Regional employee connectivity.
Clarity on event timelines.",Ambition Box,4.0,,
2022-05-30,"Excellent work-life balance. 
No micro management. 
People are helpful   No team bonding
You have to pay 3000 to get lunch and its mandatory to have office lunch
Everyone here is isolated, no one talks to anyone. 
One way communication with managers
Managers do feel, that it's their own company. Bossy culture.
No one will be assigned for onboarding. Just help yourself
No fun, its like dead office.",Ambition Box,2.0,,
2022-05-16,Everything is good and super   Nothing,Ambition Box,5.0,,
2022-04-20,Good management   Good,Ambition Box,5.0,,
2022-04-19,"Nothing at all. Poor company to work for. Poor beaureucrats people   Toxic culture, CEO is selfish and non people centric. They promote theft by encouraging employees to do unethic practice, and back off later.",Ambition Box,1.0,,
