Date,Source,Rating,Designation,Employee Status,Reviews,Sentiment Score,Sentiment
2023-07-24,Twitter,,,,Hey flipkartsupport Flipkart motorolaindia bought Motorola 55inch Qled TV After couple days TV restarting continously tried place return or replacement flipkart but Im getting something went wrong try after some time error from yesterday flipkart,-0.8271,Bad
2023-07-20,Twitter,,,,Oppo Reno 10 Price 33K INR too high specs it provides Even after 3K discount price little high No OIS 2X Hybrid Optical Zoom No High PWM Dimming say 25K26K it worth Realme 11 Pro better Option overall Motorola Edge 40 best… Show more,0.2398,Good
2023-07-27,Twitter,,,,motorola a830 designed with video calling in mind was one first phones built with high speed 3g network in mind 11 25 tez httpsobjktcomassetKT1UkGRThSkza8wcXcxJJTUKAEQnzN7qT2dd15…,0.0,Neutral
2023-07-25,Twitter,,,,We salute forwardthinking employers like MotoSolutions partner Path Forward’s since 2020 Motorola offers returnships provide onramps back work highachievers put their careers pause care kids family self or others httpsbitly3OfBV6G,0.6908,Good
2023-07-26,Twitter,,,,With my comments foldable smartphone market competition has found good formula in challenging Samsung httpscnetcomtechmobileforgetgoogleormotorolasamsungsbiggestfoldablerivalcouldbeoppoftagCOS0510aaa0j… via CNET,0.5423,Good
2023-07-25,Twitter,,,,Motorola Moto G32 features triple camera system back including 50MP main camera 16MP single selfie optic three storage options 5000mAh battery capacity httpstinyurlcom3ukaw5k4 MotorolaMobile MotorolaPhone NewMotorolaMobile Emobileprice EMP,0.0,Neutral
2023-07-18,Twitter,,,,HONOR seems all set take Samsung Xiaomi BBK group Nothing Motorola in India,0.6037,Good
2023-07-21,Twitter,,,,Help me share 49000 AURA in awesome competition,0.8402,Good
2023-07-24,Twitter,,,,Introducing gamechanger Experience revolutionary Motorola Edge 40 with its stunning curved display ultrasmooth 144Hz refresh rate powerhouse camera READ MORE DETAILS httpsdroidsumocomrevolutionarymotorolaedge40arrivesinindiaonmay23… MotorolaEdge40 FlagshipTech InnovationAtItsFinest,0.3818,Good
2023-07-25,Twitter,,,,Lightweight ultrasleek infinitely flexible Everyone agrees that Motorola Razr 40 Ultra just gorgeous Whether in KSA UAE Kuwait or Qatar visit link order yours httpslinktreeMotorolaArabia Motorola BendYourLimits Razr40Ultra,0.7717,Good
2023-07-27,Twitter,,,,La prima telefonata con un cellulare fu effettuata da Martin Cooper un ingegnere statunitense che lavorava per Motorola Questo evento storico avvenne il 3 aprile 1973 New York E indovinate chi chiamò per primo Martin Cooper utilizzò il Motorola DynaTAC 8000X che era il… Show more,-0.6908,Bad
2023-07-26,Twitter,,,,Make your phone hatke with Android™13 get more usable reliable personal experience Stay current with latest innovations get an assured upgrade Android™14 Get ready motog14 launches 1st August flipkart httpmotorolain leading retail stores,0.6124,Good
2023-07-24,Twitter,,,,There no Jamaican women shaped like Prove me wrong dare,-0.4215,Bad
2023-07-19,Twitter,,,,Fix error far confirmed Samsung Galaxy A03s A11 A12 A53 Honor X7 Motorola G Play Xiaomi Redmi 9i FAQ says its because app sensed intense movement however weve tried leaving phone alone in quiet room it still gives error,-0.128,Bad
2023-07-19,Twitter,,,,Catch Founder CEO Varun Goyal share his thoughts how strike perfect balance between being ruthlessly competitive genuinely authentic in world business spotifypodcast httpsbitly44CMkAk illuminatehealth healthtechnology Digitalhealth,0.7269,Good
2023-07-22,Twitter,,,,➤ Delivery Speed 2 3hrs ➤ Pay Delivery 𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀𝗖𝗹𝗮𝘂𝗱 Starlink Sigor Uhunye Brookside Miguna Miguna Maurice Ogeta Itumbi DJ Evolve Ferdinand Omanyala Messi World Record kenya air force,-0.1027,Bad
2023-07-24,Twitter,,,,Click link httpstinyurlcom5x8smh6s see detailed information Motorolas Mobile named Motorola Moto G25 MotorolaMobile MotorolaPhone NewMotorolaMobile MotorolaMobile2023 Emobileprice EMP,0.0,Neutral
2023-07-20,Twitter,,,,Using Motorola devices since 2009 not single hardware issue encountered yet,0.0,Neutral
2023-07-27,Twitter,,,,Meet superpremium stylish motog14 featuring an incredible 65 FHD display Stereo speakers with Dolby Atmos® more Launching 1 Aug Flipkart httpmotorolain,0.0,Neutral
2023-07-28,Twitter,,,,bought three pack chargers from motorola uh motherfucker BUMBLEBEE TURNED ME INTO FUNKO POP,-0.6808,Bad
2023-07-25,Twitter,,,,Y’all think cheat,-0.4588,Bad
2023-07-27,Twitter,,,,SamsungGalaxyZFlip5 vs MotorolaRazr40Ultra – battle flip phones httpsbusinessinsiderintechmobilenewssamsunggalaxyzflip5vsmotorolarazr40ultrasmartphonecomparisonofpriceandfeaturesslidelist102160555cms… By sourabhjain24,-0.3818,Bad
2023-07-21,Twitter,,,,Motorola Sold Highest No Smartphone In Foldable Category Prime Day Sales Motorola has created new record in India by becoming highestselling smartphone brand in foldables Read Complete Newshttpsdigitalterminalintechcompaniesmotorolasoldhighestnoofsmartphoneinfoldablecategoryprimedaysales… MotorolaIndia MotorolaSmartphone,-0.0516,Bad
2023-07-21,Twitter,,,,httpsbuffly3D4KtrR Motorola orchestrate integrates security into one platform salessurvshopcom kelowna,0.34,Good
2023-07-24,Twitter,,,,Get ready ultimate smartphone experience Motorola launches its foldable marvel June 1st Discover power potential Razr 40 READ MORE DETAILS httpsdroidsumocomunveilingrazrmotorolasfoldablemarvel… MotorolaRazr FoldableMarvel TechRevolution,0.6486,Good
2023-07-25,Twitter,,,,shaping up year folding smartphone writes tech columnist Dwight Silverman More makers Android devices piling into an arena dominated by Samsung resulting gear getting better less expensive,0.4404,Good
2023-07-25,Twitter,,,,Motorola Moto X30 Pro offers three storage options including 8GB RAM with 128GB internal storage 12GB RAM with 256GB Memory 12GB RAM with 512GB Storage 200MP main back optic more detail click here link httpstinyurlcom4me8ems4 MotorolaMobile Emobileprice EMP,0.0,Neutral
2023-07-27,Twitter,,,,Radio Case Two Way Reflective Stitching Radio Holder Leather Holster with Adjustable Elastic Band Fits Motorola APX 6000 VZH8PTW,0.0,Neutral
2023-07-27,Twitter,,,,Enjoy your favourite content hours without interruptions With motog14’s massive 5000mAh battery 20W TurboPower™ Charging get charge faster stay charged longer Launching August 1st flipkart httpmotorolain leading retail stores,0.5659,Good
2023-07-24,Twitter,,,,Motorola Moto G14 vs Realme 9i vs Redmi Note 11 Which Budget Smartphone Right,0.0,Neutral
2023-07-26,Twitter,,,,samsung phones worst Its humid Im camping my phone decided there moisture in charging port wont let me juice up my phone My LG motorola phones could figure it out,-0.6249,Bad
2023-07-24,Twitter,,,,Moto G14 PreBookings Start From August 1 Flipkart Check Specifications Expected Price motorola flipkart motoG14 smartphone launch,0.0,Neutral
2023-07-27,Twitter,,,,Motorola Razr 40 Ultra Infinite Black 8 GB RAM 256 GB Storage 36 External AMOLED Display 69 AMOLED 165Hz Display 32MP Selfie Camera 30W TurboPower Charging Android 13 httpsamznto44Fipas Amazon Motorola motorolarazr40ultra motorolarazr,0.1779,Good
2023-07-21,Twitter,,,,Ouch Why does video hurt much watch Motorola Razr Plus durability test painful watch Digital Trends httpsbuffly3XZ2fWZ,-0.743,Bad
2023-07-24,Twitter,,,,Motorola Moto S30 Pro reveals Full HD videos 655inch display 144Hz refresh rate 4 storage options Qualcomm Snapdragon 888 chipset triple camera setup back with 50MP main optic httpstinyurlcomejd9k6j9 MotorolaMobile MotorolaPhone Emobileprice EMP,0.0,Neutral
2023-07-20,Twitter,,,,motorola dynatac 8000x first mobile phone ever approved use in united states made sense that it should first phone in my series exploring cell phone history 11 highest offer accepted tomorrow around noon est httpsobjktcomassetKT1UkGRThSkza8wcXcxJJTUKAEQnzN7qT2dd0…,0.7717,Good
2023-07-24,Twitter,,,,want me one those new motorola razr’s,0.0772,Good
2023-07-24,Twitter,,,,Check out Motorola 56531HCTN4002A CLS Multi Unit Charger Cloning Station With Cord httpsebaycomitm385803614878mkcid16mkevt1mkrid71112763223570ssspo7t2btu7sssssrc2524149ssuid7t2btu7sswidgetverartemismediaTW… eBay via eBay,0.0,Neutral
2023-07-24,Twitter,,,,Check out Motorola 56531HCTN4002A CLS Multi Unit Charger Cloning Station With Cord httpsebaycomitm385803614878mkcid16mkevt1mkrid71112763223570ssspo7t2btu7sssssrc2524149ssuid7t2btu7sswidgetverartemismediaTW… eBay via eBay,0.0,Neutral
2023-07-23,Twitter,,,,Deal ₹59999 MRP ₹99999 BUY NOW link in BIO Motorola razr 40 Vanilla Cream 8GB RAM 256GB Storage External AMOLED Display 69 AMOLED 144Hz Display 64MP Main Camera Android 13,0.0,Neutral
2023-07-27,Twitter,,,,Want keep your agency safe from cyberthreats transition cloud Don’t miss Motorola Solutions’ session discussing cybersecurity cloud solutions APCO2023 in Nashville Aug 9 httpsapco2023eventscribenetfsPopupaspModepresInfoPresentationID1268331blaid4852465…,0.5106,Good
2023-07-22,Twitter,,,,httpsmapsappgooglkm6gDa4w1BMSjmrr8… CALLING 211 FIRE ENGINE 8 FIRE ENGINE 33 FIRST RESPONDER DODGE TRUCK FOUR DOOR FIREHOUSE 33 FIREHOUSE 21 FIREHOUSE 27 PAULA M STEWARD MARRIED C STEWART MARRIED CARLOS ARMSTRONG MARCUS LUTTEN MOTOROLA WALKIE TALKIE RIONEGRO COLUMBIA MEDELLIN CARTEL,-0.7404,Bad
2023-07-27,Twitter,,,,Deal Motorola Edge 2022 2Day Battery Unlocked Made 8256GB 50MP Camera Mineral Gray httpsamazoncomgpproductB0B7XYTXXLtagps5restock20a20… via amazon,0.1779,Good
2023-07-25,Twitter,,,,“With Calipsa Immix believe we working with gamechanging solution that allow deliver highest possible level security clients” ﹣ SecuritasUK Discover how Securitas UK achieved 898 total video alarm reduction httpshubslyQ01YKZzw0,0.4939,Good
2023-07-21,Twitter,,,,feel represented,0.0,Neutral
2023-07-24,Twitter,,,,Uploaded some more stuff Internet Archive including some Motorola datasheets MC6809 httpsarchiveorgdetailstrcwm retrocomputing,0.0,Neutral
2023-07-24,Twitter,,,,Top work from CamBunton Motorola Razr Razr 40 Ultra tips tricks 16 musttry features,0.0772,Good
2023-07-25,Twitter,,,,Motorola Razr Plus here redefine way we use phones With its sleek design innovative cover display staying connected has never looked stylish MotorolaRazr CoverDisplay Innovation TechTrends Technews,0.6705,Good
2023-07-25,Twitter,,,,Motorola set refresh its affordable Moto G lineup in India with upcoming launch Motorola G14 Read story TechByte here httpsbuffly44Whouv TechNews Cashify,0.0,Neutral
2023-07-21,Twitter,,,,Deals Motorola MA1 wireless Android Auto adapter 80 Bose speakers more,0.0,Neutral
2023-07-19,Twitter,,,,Motorola Edge 2022 2Day Battery Unlocked Made 8256GB 50MP Camera Mineral Gray httpsamazoncomgpproductB0B7XYTXXLtagps5restock20a20… via amazon,0.1779,Good
2023-07-22,Twitter,,,,Motorola Razr absolute best flip phone motorolarazr2022 razr httpsyoutubecomshortsGqYKQJwZY80featureshare… via YouTube,0.6369,Good
2023-07-25,Twitter,,,,Radio Case Two Way Radio Holder Leather Holster with Adjustable Elastic Band Fits Motorola APX 60006000XE or 80008000XE OWEN6CB,0.0,Neutral
2023-07-23,Twitter,,,,OCESTORE Replacement LCD Display Digitizer Touch Screen Assembly Repair Compatible with Motorola Moto G Pure XT2163 XT2163DL NIWGYHJ,0.0,Neutral
2023-07-21,Twitter,,,,Motorola Razr Plus one best foldingphones buy today But just how durable it Well it doesnt look great,-0.0493,Neutral
2023-07-21,Twitter,,,,Lmfao,0.5423,Good
2023-07-22,Twitter,,,,Surprise Motorola G82 getting stable Android 13 update Motorola MotoG82 Android13 Updates,0.5106,Good
2023-07-20,Twitter,,,,Motorola Moto G Stylus 5G 2023 review Welcome bloatware hell WhatsNew2Day Latest News Breaking Headlines really want like your new Moto G Stylus 5G many levels It’s got lot 399… bloatware hell Moto Motorola,-0.5898,Bad
2023-07-27,Twitter,,,,Both devices pitched Gen Zs digital content creators but same price Z Flip 5 offers more complete package,0.0,Neutral
2023-07-22,Twitter,,,,Enhance your communication with Motorola XT460 Quad Pack Reliable durable situation Motorola ReliableCommunication,0.0,Neutral
2023-07-27,Twitter,,,,Motorola G14 Price in India Leaked Ahead Launch Availability Confirmed Via Flipkart Launch August 1 st Check Here httpsmymobileindiacommotorolag14priceinindialeakedaheadoflaunchavailabilityconfirmedviaflipkartlaunchonaugust1st… motorola flipkart motorola motorolaG14 MotoG14 flipkart technology mymobileindia,-0.3182,Bad
2023-07-24,Twitter,,,,Pair your video surveillance with Envysions software create business intelligence thats valuable owners operators Drive security loss prevention Visit website more info httpsenvysionincshpsolDFO6X5 VideoSecurity …,0.8126,Good
2023-07-25,Twitter,,,,Motorola all set expand its portfolio budget smartphones in India with muchawaited Moto G14 motoG14 motorola Smartphones TechNews,0.3182,Good
2023-07-27,Twitter,,,,Motorola Phones Good in 2023 Motorola has recently produced some best phones market has made big splash advantage versatility Motorola phones,0.8442,Good
2023-07-21,Twitter,,,,Check out Motorola CLS1110 Business Black Portable LCD Display TwoWay Radio Walkie Talkie httpsebaycomitm385803529611mkcid16mkevt1mkrid71112763223570ssspo7t2btu7sssssrc2524149ssuid7t2btu7sswidgetverartemismediaTW… eBay via eBay,0.0,Neutral
2023-07-27,Twitter,,,,SamsungGalaxyZFlip5 MotoRazr40Ultra OPPOFindN2Flip in headtohead comparison Tap find out which foldable phone better,0.4404,Good
2023-07-27,Twitter,,,,StepbyStep Guide How Take Stunning Photos with Your Motorola Moto Z2 Play MotorolaPhones MotorolaMotoZ2Play,0.6124,Good
2023-07-21,Twitter,,,,hey motorolaindia ordered moto edge 40 from httpmotorolain but want cancel it want order moto edge 30 could please help me cancel my order urgently thanks,0.8047,Good
2023-07-21,Twitter,,,,hey motorolaindia ordered moto edge 40 from httpmotorolain but want cancel it want order moto edge 30 could please help me cancel my order urgently thanks,0.8047,Good
2023-07-28,Twitter,,,,Motorola razr 40 Ultra Infinite Black 8GB RAM 256GB Storage 36 External AMOLED Display 69 AMOLED 165Hz Display 32MP Selfie Camera 30W TurboPower Charging Android 13 httpsamznto3Ocjvn5 via amazon,0.1779,Good
2023-07-21,Twitter,,,,Motorola’s folding phone just had durability test — it’s painful watch,-0.4404,Bad
2023-07-23,Twitter,,,,Check out Original Motorola MC662 dual 4 input line driver NAND DS1D3 httpsebaycomitm334961008559mkcid16mkevt1mkrid71112763223570ssspo4D7C5mF2Sfmsssrc2566055ssuid4D7C5mF2SfmwidgetverartemismediaTW… eBay via eBay,0.3182,Good
2023-07-23,Twitter,,,,Check out Original Motorola MC662 dual 4 input line driver NAND DS1D3 httpsebaycomitm334961008559mkcid16mkevt1mkrid71112763223570ssspo4D7C5mF2Sfmsssrc2566055ssuid4D7C5mF2SfmwidgetverartemismediaTW… eBay via eBay,0.3182,Good
2023-07-21,Twitter,,,,Fantastic Friday Deals Motorola Edge 2022 4800mAh Battery Unlocked Made 8512GB 50MP Camera Cosmos Blue httpsamznto3Y3Qdf9 via amazon,0.6486,Good
2023-07-21,Twitter,,,,Fantastic Friday Deals Motorola Edge 2022 4800mAh Battery Unlocked Made 8512GB 50MP Camera Cosmos Blue httpsamznto3Y3Qdf9 via amazon,0.6486,Good
2023-07-20,Twitter,,,,Learn how an integrated technology ecosystem reduces inefficiencies streamlines operations delivers improved security your organization – download Safety Reimagined brochure today httpshubslyQ01Wj1Gm0 Motorola,0.8074,Good
2023-07-20,Twitter,,,,Learn how an integrated technology ecosystem reduces inefficiencies streamlines operations delivers improved security your organization – download Safety Reimagined brochure today httpshubslyQ01Wj1Gm0 Motorola,0.8074,Good
2023-07-22,Twitter,,,,Beginner’s Guide Customizing Your Motorola Moto G8 Power Lite MotorolaPhones Motorolamotog8powerlite,0.0,Neutral
2023-07-22,Twitter,,,,Beginner’s Guide Customizing Your Motorola Moto G8 Power Lite MotorolaPhones Motorolamotog8powerlite,0.0,Neutral
2023-07-22,Twitter,,,,Motorola Edge 40 Pro Vs Motorola Edge 30 Ultra Which one choose Motorola Motorola MotorolaEdge40Pro MotorolaEdge30Ultra devicesarena compare specs cameras batteries,0.0,Neutral
2023-07-22,Twitter,,,,Motorola Edge 40 Pro Vs Motorola Edge 30 Ultra Which one choose Motorola Motorola MotorolaEdge40Pro MotorolaEdge30Ultra devicesarena compare specs cameras batteries,0.0,Neutral
2023-07-27,Twitter,,,,BACK IN STOCK Motorola razr 40 Ultra Viva Magenta 8GB RAM 256GB Storage 36 External AMOLED Display 69 AMOLED 165Hz Display 32MP Selfie Camera 30W TurboPower Charging Android 13 httpsamznto3Qg0Idg via amazon flip amazon Discounts coupon HDFC online,0.34,Good
2023-07-27,Twitter,,,,BACK IN STOCK Motorola razr 40 Ultra Viva Magenta 8GB RAM 256GB Storage 36 External AMOLED Display 69 AMOLED 165Hz Display 32MP Selfie Camera 30W TurboPower Charging Android 13 httpsamznto3Qg0Idg via amazon flip amazon Discounts coupon HDFC online,0.34,Good
2023-07-22,Twitter,,,,Check out 1 pc MC668P MOTOROLA IN STOCK Fast Shipping DS1D3 httpsebaycomitm334960181126mkcid16mkevt1mkrid71112763223570ssspo4D7C5mF2Sfmsssrc2566055ssuid4D7C5mF2SfmwidgetverartemismediaTW… eBay via eBay,0.0,Neutral
2023-07-27,Twitter,,,,MOTOROLA SOLUTIONS Talkabout T460 Rechargeable TwoWay Radio Pair Dark Blue FLTNRUK,0.347,Good
2023-07-24,Twitter,,,,JUST IN Motorola offers top deal Moto G 5G 2023 now available just 199 Affordable 5G with decent specs making it perfect budgetconscious consumers Motorola MotoG5G2023,0.6705,Good
2023-07-23,Twitter,,,,Check out MOTOROLA MC667P 14Pin Dip Original IC NewDS1D3 httpsebaycomitm334960194242mkcid16mkevt1mkrid71112763223570ssspo4D7C5mF2Sfmsssrc2566055ssuid4D7C5mF2SfmwidgetverartemismediaTW… eBay via eBay,0.3182,Good
2023-07-23,Twitter,,,,Motorola Edge 40 Pro Vs Motorola Moto X40 Which one choose Motorola Motorola MotorolaEdge40Pro MotorolaMotoX40 devicesarena compare specs cameras batteries,0.0,Neutral
2023-07-26,Twitter,,,,Check out Motorola Video Baby Monitor Camera HD Wifi httpsebaycomitm185978092234mkcid16mkevt1mkrid71112763223570ssspokxhpa5idtvksssrc2380676ssuidkxhpa5idtvkwidgetverartemismediaTW… eBay via eBay,0.0,Neutral
2023-07-19,Ambition Box,4.0,,,good 👍 Good 👍,0.7003,Good
2023-07-18,Ambition Box,3.0,,,Its fast growing company promises good future employees in terms pay package growth Poor work life balance Toxic work environment,0.6486,Good
2023-06-28,Ambition Box,5.0,,,1Flexible hours working 2Low pressure 3Good atmosphere 4Good work culture Nothing,-0.296,Bad
2023-06-03,Ambition Box,4.0,,,flexible comfortable company work with being an MNC there no bossy culture Struggling in creating Brand value,0.5859,Good
2023-05-06,Ambition Box,5.0,,,Best place work grow Nil,0.6369,Good
2023-03-19,Ambition Box,5.0,,,Overall work culture work exposure Lean team structure volume work,0.0,Neutral
2023-02-25,Ambition Box,5.0,,,Team Senior Leadership team Learnings Work life balance,0.0,Neutral
2023-02-14,Ambition Box,4.0,,,3 years 3 years,0.0,Neutral
2023-02-13,Ambition Box,5.0,,,yes have good experience in motorola didn’t find,0.6808,Good
2023-02-08,Ambition Box,5.0,,,Work life balance benefits Management leadership career development,0.3818,Good
2023-02-03,Ambition Box,2.0,,,Salary Improper plans in market sudden salary revision up 50 cutting,-0.128,Bad
2023-01-28,Ambition Box,3.0,,,Flexible Working Hours Company culture Management,0.2263,Good
2023-01-03,Ambition Box,1.0,,,Technology Everything except technology,0.0,Neutral
2022-12-26,Ambition Box,3.0,,,Insurance salary No worklife balance No proper planning deliverables,-0.5267,Bad
2022-12-16,Ambition Box,4.0,,,Working culture good No promotion there should promote every employee after few years,0.5106,Good
2022-11-05,Ambition Box,5.0,,,All good gooooooooood Nothing all goooooooood,0.4404,Good
2022-11-04,Ambition Box,5.0,,,Overall company good if focus family than work could best company ever Salary benefits also good may not learn anything else here only your skills utilised dont hire employees instead hire contractors whose job security less Talking about company culture nobody cares what doing or when leavingreaching office good point most people,0.9633,Good
2022-10-16,Ambition Box,5.0,,,Decent Culture WorkLife Balance No micromanagement Less fun activitiesteam parties,0.5012,Good
2022-09-16,Ambition Box,5.0,,,Good company calture job security,0.6486,Good
2022-09-11,Ambition Box,3.0,,,Good team mates No job security Frequent random layoffs,0.4767,Good
2022-08-12,Ambition Box,3.0,,,Good company overall work life balance not great,-0.1012,Bad
2022-08-09,Ambition Box,5.0,,,Super fast paced Lots learning Job security,0.743,Good
2022-06-27,Ambition Box,5.0,,,Work life balance Hiring process period time taken,0.0,Neutral
2022-06-23,Ambition Box,5.0,,,Vast exposure empowerment Compensation band mismatch,0.0,Neutral
2022-06-04,Ambition Box,4.0,,,Work culture Appraisal,0.0,Neutral
2022-05-30,Ambition Box,4.0,,,Work load management Work life balance Flexible minimal HR communications Regional employee connectivity Clarity event timelines,0.5574,Good
2022-05-30,Ambition Box,2.0,,,Excellent worklife balance No micro management People helpful No team bonding have pay 3000 get lunch its mandatory have office lunch Everyone here isolated no one talks anyone One way communication with managers Managers feel that its their own company Bossy culture No one assigned onboarding Just help yourself No fun its like dead office,-0.1779,Bad
2022-05-16,Ambition Box,5.0,,,Everything good super Nothing,0.7783,Good
2022-04-20,Ambition Box,5.0,,,Good management Good,0.7003,Good
2022-04-19,Ambition Box,1.0,,,Nothing all Poor company work Poor beaureucrats people Toxic culture CEO selfish non people centric promote theft by encouraging employees unethic practice back off later,0.791,Good
2022-04-08,Ambition Box,5.0,,,Work life balance unlimited casual leaves Best mobiles in industry specially design looks salarys time good incentives,0.8807,Good
2022-03-24,Ambition Box,5.0,,,Need more models in below 50k good environment good staff,0.7003,Good
2022-03-20,Ambition Box,5.0,,,lot politics Management,0.0,Neutral
2022-03-07,Ambition Box,5.0,,,Vzhxjc Nothing,0.0,Neutral
2022-02-04,Ambition Box,2.0,,,No surity job Love it,0.4588,Good
2021-08-07,Ambition Box,5.0,,,Love it Awesome,0.8519,Good
2021-08-06,Ambition Box,5.0,,,Nothing Work culture awesome,-0.5096,Bad
2021-06-19,Ambition Box,5.0,,,Increment Overall Experience ok,0.296,Good
2021-05-10,Ambition Box,4.0,,,Policy work culture needs their improvement area Work exposure,0.4588,Good
2021-04-24,Ambition Box,5.0,,,It comes up with new features products Just got transferred delhi there nothing which dont like its good,-0.1493,Bad
2021-04-20,Ambition Box,4.0,,,work culture process overhead sdlc,0.0,Neutral
2021-04-17,Ambition Box,5.0,,,Company policies New peoples attitude etc,0.0,Neutral
2021-03-07,Ambition Box,1.0,,,Work life balance fine Poor culture No job security Average benefits Lot bureaucracy dictator ship No one listens feel choked if in gas chamber,-0.5859,Bad
